id,unitname,key1,key2,key3,key4,key5,key6,key7,key8,key9,key10,key11,key12,key13,key14,key15,key16,key17,key18,key19,key20,key21,key22,key23,key24,key25,key26,key27,key28,key29,key30,key31,key32,key33,key34,key35,key36,key37,key38,key39,key40,key41,key42,key43,key44,key45,key46,key47,key48,key49,key50,key51,key52,key53,key54,key55,key56
0,小兵,default,atk1,dull,happy,sad,move,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,斧兵,default,atk1,dull,happy,sad,move,atk1_1,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,弓箭手,default,atk1,dull,happy,sad,move,shock,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,枪兵,default,atk1,dull,happy,sad,atk1_1,move,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,胖子,default,atk1,dull,happy,sad,move,atk1_1,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,蜘蛛巢,default,atk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,精英小兵,default,atk1,dull,happy,sad,move,shock,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,冰史莱姆,default,atk1,dull,happy,sad,move,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,冰蜘蛛,default,atk1,dull,happy,sad,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,精英弓箭手,default,atk1,dull,happy,sad,move,shock,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,史莱姆,default,atk1,dull,happy,sad,move,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,帅,default,move,atk1,atk1_1,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,车,default,dull,move,atk1,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,马,default,dull,move,atk1,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,兵,default,dull,move,atk1,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,幽灵,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,圣诞小雪球,default,move,atk1,atkjump,atkjump1,bigger,dull,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,封印石,default,atk1,dull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,小雪球,default,move,atk1,atkjump,atkjump1,dull,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,小冰龙,default,atk1,atk1_1,dull,happy,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,法师,default,atk1,dull,happy,sad,move,shock,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,眼球怪,default,atk1,dull,happy,sad,move,atk1_1,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,大嘴花,default,atk1,dull,happy,sad,atk1_1,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,壳壳龟,default,atk1,dull,happy,sad,shock,atk1_1,invincible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,捣蛋鱼,default,atk1,dull,happy,sad,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,投弹花,default,atk1,dull,happy,atk1_1,atk1_atking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,小蜘蛛,default,atk1,dull,happy,sad,move,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,蜘蛛战士,default,atk1,dull,happy,sad,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,树精,default,atk1,dull,happy,sad,move,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,小鸡,default,move,shock,atk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,愤怒的小鸡,default,move,shock,atk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,宝箱怪,default,move,hurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,小火龙,default,atk1,atk1_1,dull,happy,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,火腿骑士,default,atk1,atk1_1,atk1_atking,atk1_2,atkJump,jumping,atkJump_1,dull,atk_throw,atk_throw_1,atk_throwing,atk_throwing2,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,寒冰投手,default,atk1,dull,happy,atk1_1,atk1_atking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,魔神之火,default,atk1,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,血之女神,default,atkJump,atk_rotate,atk_rotate1,atkJump2,atkJump2_1,dull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,千年树精,default,atk1,atk1_1,dull,atkSpawnTree,atkSpawnTree_1,atkSpawn,atkSpawn_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,自动连弩,default,atk1,shoot_atking,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,自动齿轮,default,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,自动假人,default,atk1,atk1_1,move,dull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,自动修理机,default,atk1,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,诅咒之魂,default,atk1,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,疯狂自动齿轮,default,move,atk1,atking,atk1_1,atk_move,atk_move_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,“勇者”兰,default,atk1,atk1_1,atk1_atking,atk_rotate,atk_rotate1,parry,atkJump,atkJump_1,jumping,atk_Strike,atk_Strike_1,change,move,dull,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,幻影之剑,default,atk1,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,自动木球,default,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,自动铁球,default,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Unit_48,default,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,幻影魔王,default,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,宝箱大王,default,atk1,atk1_1,dull,atk_fly,atk_drop,atk_drop_1,atk_droping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,最伟大的王·地表最强生物·智慧与力量的化身·史莱姆王子,default,atk1,atk1_1,atk1_2,dull,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,炸弹哈基米,default,dull,shock,atkSpawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,残暴的龙蝇,default,atk_drop,atk_drop_1,atk_droping,atkSpawn,move,dull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,异次元电视,default,atk1,atkSpawn55,atk_fly,dull,change,think,happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Unit_55,default,default1,default2,default3,default4,default5,default6,default7,default8,default9,default10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Unit_56,default,atk1,atkSpawn55,atk_fly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,何意味？,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,胖蜘蛛,default,atk1,happy,sad,move,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,幽灵小兵,default,atk1,dull,happy,sad,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,幽灵枪兵,default,atk1,dull,happy,sad,atk1_1,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,幽灵蜘蛛,default,atk1,dull,happy,sad,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,长腿蜘蛛,default,atk1,happy,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,推推史莱姆,default,atk1,dull,happy,sad,move,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,飞飞史莱姆,default,atk1,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,史莱姆传送门,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,猪猪存钱罐,default,atk1_1,atk1_atking,atkSpawn,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,卡片魔王,default,atk1_1,atk_Strike,atk_rotate,atk_rotate_1,atklayser,arrowShoot,arrowShoot_1,atkScythe,atkhammer,change,fire1,fire2,fire3,fire4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,小女孩,default,change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,小女孩,default,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,幸运猎人,default,atk1,dull,happy,sad,atk_move,move,change,runaway,card,cure,sleep,cardThrow,getCard,atk1_atking,shock,atk_rotate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
